regret: 52	maxRegret: 339.04	weights: (0.117, 0.106, 0.131, 0.098, 0.105, 0.093, 0.085, 0.093, 0.079, 0.092)
regret: 52	maxRegret: 339.16	weights: (0.116, 0.106, 0.137, 0.097, 0.104, 0.092, 0.085, 0.092, 0.079, 0.092)
regret: 52	maxRegret: 339.16	weights: (0.116, 0.106, 0.137, 0.097, 0.104, 0.092, 0.085, 0.092, 0.079, 0.092)
regret: 53	maxRegret: 339.28	weights: (0.116, 0.106, 0.137, 0.097, 0.104, 0.092, 0.085, 0.092, 0.079, 0.092)
regret: 53	maxRegret: 339.28	weights: (0.116, 0.106, 0.137, 0.097, 0.104, 0.092, 0.085, 0.092, 0.079, 0.092)
regret: 53	maxRegret: 339.28	weights: (0.116, 0.106, 0.137, 0.097, 0.104, 0.092, 0.085, 0.092, 0.079, 0.092)
regret: 54	maxRegret: 339.41	weights: (0.116, 0.106, 0.137, 0.097, 0.104, 0.092, 0.085, 0.092, 0.079, 0.092)
regret: 55	maxRegret: 339.53	weights: (0.116, 0.106, 0.137, 0.097, 0.104, 0.092, 0.085, 0.092, 0.079, 0.092)
regret: 56	maxRegret: 339.65	weights: (0.116, 0.106, 0.137, 0.097, 0.104, 0.092, 0.085, 0.092, 0.079, 0.092)
regret: 57	maxRegret: 339.77	weights: (0.116, 0.106, 0.137, 0.097, 0.104, 0.092, 0.085, 0.092, 0.079, 0.092)
regret: 58	maxRegret: 339.89	weights: (0.116, 0.106, 0.137, 0.097, 0.104, 0.092, 0.085, 0.092, 0.079, 0.092)
regret: 59	maxRegret: 340.01	weights: (0.116, 0.106, 0.137, 0.097, 0.104, 0.092, 0.085, 0.092, 0.079, 0.092)
regret: 59	maxRegret: 340.01	weights: (0.116, 0.106, 0.137, 0.097, 0.104, 0.092, 0.085, 0.092, 0.079, 0.092)
regret: 59	maxRegret: 340.13	weights: (0.123, 0.105, 0.136, 0.097, 0.103, 0.091, 0.084, 0.092, 0.078, 0.091)
regret: 60	maxRegret: 340.25	weights: (0.123, 0.105, 0.136, 0.097, 0.103, 0.091, 0.084, 0.092, 0.078, 0.091)
